источник,тип,регион,тематика,rss_url,период_активности
Президент России (kremlin.ru),Официальный орган власти,Федеральный,"Новости Президента, стенограммы, поездки, документы, пресса",http://kremlin.ru/rss/,2022–2026
Правительство России (government.ru),Официальный орган власти,Федеральный,"Новости Правительства, анонсы, телеграммы, заседания, документы, поручения, законопроекты",http://services.government.ru/rss/,2022–2026
Государственная Дума (duma.gov.ru),Официальный орган власти,Федеральный,"Новости, законопроекты, заседания, комитеты",http://duma.gov.ru/rss/,2022–2026
Совет Федерации (council.gov.ru),Официальный орган власти,Федеральный,"Новости, документы, заседания",https://council.gov.ru/rss/,2022–2026
Официальный интернет-портал правовой информации (pravo.gov.ru),Официальный орган власти,Федеральный,"Последние опубликованные акты (Президент, Правительство, СФ, ГД, федеральные органы, КС, международные договоры)",http://publication.pravo.gov.ru/rss,2022–2026
Минцифры России (mincifr.gov.ru),Министерство,Федеральный,"Цифровизация, госуслуги, ИТ-регулирование, связь",https://mincifr.gov.ru/rss/,2022–2026
Минздрав России (minzdrav.gov.ru),Министерство,Федеральный,"Здравоохранение, нормативные акты, новости медицины",https://minzdrav.gov.ru/rss/,2022–2026
Минпросвещения России (edu.gov.ru),Министерство,Федеральный,"Образование, школы, ЕГЭ, нормативные акты",https://edu.gov.ru/rss/,2022–2026
Россельхознадзор (fsvps.gov.ru),Федеральная служба,Федеральный,"Ветеринария, фитосанитария, госуслуги в сфере АПК",https://fsvps.gov.ru/rss/,2022–2026
ФНС России (nalog.gov.ru),Федеральная служба,Федеральный,"Налогообложение, разъяснения, изменения в законодательстве",https://nalog.gov.ru/rss/,2022–2026
МВД России (mvd.ru),Министерство,Федеральный,"Внутренние дела, правоохранительная деятельность, пресс-релизы",https://mvd.ru/rss/,2022–2026
МЧС России (mchs.gov.ru),Министерство,Федеральный,"Гражданская оборона, предупреждения, отчёты о ЧС",https://mchs.gov.ru/rss/,2022–2026
Минобороны России (mil.ru),Министерство,Федеральный,"Оборона, армия, брифинги, документы",https://mil.ru/rss/,2022–2026
ТАСС (tass.ru),Государственное СМИ,Федеральный,"Федеральные и региональные новости, политика, экономика, общество, здоровье, образование",https://tass.ru/rss/v2.xml,2022–2026
РИА Новости (ria.ru),Государственное СМИ,Федеральный,"Новости России и мира, тематические ленты",https://ria.ru/export/rss2/archive/index.xml,2022–2026
Российская газета (rg.ru),Официальное издание Правительства,Федеральный,"Официальные публикации, законы, комментарии, региональные выпуски",https://rg.ru/xml/index.xml,2022–2026
Парламентская газета (pnp.ru),Официальное издание Федерального Собрания,Федеральный,"Новости Федерального Собрания, законы, парламентская деятельность",https://pnp.ru/rss/,2022–2026
Интерфакс (interfax.ru),Информационное агентство,Федеральный,"Новости, в том числе по регионам, политика, экономика",https://interfax.ru/rss/,2022–2026
Коммерсантъ (kommersant.ru),СМИ,Федеральный,"Федеральные и региональные новости, экономика, политика",https://www.kommersant.ru/RSS/news.xml,2022–2026
NewsNovosti.ru (Россия Ньюс),Агрегатор новостей,Федеральный + регионы,"Агрегатор новостей по федеральным округам и регионам, официальные СМИ и агентства",https://russia.newsnovosti.ru/rss-novosti-rf/,2022–2026
Subscribe.ru (каталог RSS),Агрегатор новостей,Федеральный + регионы,"Новости, политика, государство, общество, региональные СМИ",https://subscribe.ru/catalog/media/today?rss,2022–2026
ГАРАНТ.РУ (мониторинг законодательства по регионам),Правовая система,Федеральный + все регионы,"Горячие документы, мониторинг законодательства по субъектам РФ",https://www.garant.ru/rss/,2022–2026
RSS Amplifier (newsmosobl.ru),Агрегатор новостей,Московская область,"Новости Подмосковья, происшествия, культура, спорт, политика, экономика",https://rssamplifier.com/newsmosobl-ru,2022–2026
RSS Amplifier (spbnews78.ru),Агрегатор новостей,Санкт-Петербург,"Новости Санкт-Петербурга, мнения экспертов, статьи, обзоры",https://rssamplifier.com/spbnews78-ru,2022–2026
Правительство Санкт-Петербурга (gov.spb.ru),Официальный орган власти,Санкт-Петербург,"Новости Губернатора, Правительства, комитетов, районов",https://www.gov.spb.ru/press/perechen-rss-lent-novostej/,2022–2026
Правительство Московской области (newsmosobl.ru),Официальный орган власти,Московская область,"Новости, постановления, госуслуги, события Подмосковья",https://newsmosobl.ru/rss/,2022–2026
Правительство Москвы (mos.ru),Официальный орган власти,Москва,"Новости, услуги, события, проекты Правительства Москвы",https://www.mos.ru/rss/,2022–2026
Правительство Республики Татарстан (tatarstan.ru),Официальный орган власти,Республика Татарстан,"Новости, документы, события, госуслуги",https://tatarstan.ru/rss/,2022–2026
Правительство Республики Башкортостан (bashkortostan.ru),Официальный орган власти,Республика Башкортостан,"Новости, документы, события, госуслуги",https://bashkortostan.ru/rss/,2022–2026
Правительство Свердловской области (government.sverdlobl.ru),Официальный орган власти,Свердловская область,"Новости, постановления, события, госуслуги",https://government.sverdlobl.ru/rss/,2022–2026
Администрация Краснодарского края (kuban.gov.ru),Официальный орган власти,Краснодарский край,"Новости, документы, события, госуслуги",https://kuban.gov.ru/rss/,2022–2026
ВЦИОМ (wciom.ru),Социологический центр,Федеральный,"Рейтинги доверия политикам, оценка работы Президента и Правительства, поддержка партий",https://wciom.ru/rss/,2022–2026
ФОМ (fom.ru),Социологический фонд,Федеральный,"Социологические исследования, доверие к институтам власти, общественное мнение",https://fom.ru/rss/,2022–2026
Политген (polytgen.ru),Аналитический центр,Федеральный,"Еженедельные замеры доверия к Президенту, Правительству, политический анализ",https://polytgen.ru/rss/,2022–2026
Портал Госуслуги (gosuslugi.ru) — Личный кабинет,Портал госуслуг,Федеральный,"Персональные уведомления от госорганов, новые услуги, цифровизация",https://lk.gosuslugi.ru/,2022–2026
Минцифры / Госуслуги (новости через ГАРАНТ),Министерство / Портал госуслуг,Федеральный,"Обновления портала, новые услуги, цифровизация, ИТ-регулирование",https://www.garant.ru/news/tag/1430/,2022–2026

